City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,20,US,1612983720,68,19.7297,-155.09,71.01,5.75
Puerto Ayora,75,EC,1612983808,83,-0.7393,-90.3518,80.6,3.44
Dikson,94,RU,1612983808,89,73.5069,80.5464,-20.83,7.96
Atuona,2,PF,1612983808,75,-9.8,-139.0333,79.18,17.27
Kushiro,1,JP,1612983809,93,42.975,144.3747,15.8,4.43
San Rafael,81,AR,1612983608,45,-34.6177,-68.3301,76.23,8.03
Barrow,75,US,1612983809,69,71.2906,-156.7887,-22.0,10.36
Hobart,0,AU,1612983623,82,-42.8794,147.3294,53.6,10.36
Aklavik,0,CA,1612983809,68,68.2191,-135.0107,-29.2,4.61
Bambous Virieux,40,MU,1612983809,74,-20.3428,57.7575,80.6,11.5
Punta Arenas,0,CL,1612983809,55,-53.15,-70.9167,66.2,10.36
Zhenhaicun,90,CN,1612983809,94,24.2582,118.0905,59.0,4.47
Port Alfred,16,ZA,1612983809,93,-33.5906,26.891,73.99,1.99
Batagay-Alyta,26,RU,1612983809,88,67.8006,130.4114,-7.87,1.43
Vestmannaeyjar,40,IS,1612983809,81,63.4427,-20.2734,37.4,31.07
Naze,100,JP,1612983810,69,28.3667,129.4833,58.33,14.23
Bredasdorp,71,ZA,1612983810,77,-34.5322,20.0403,68.0,9.22
Chui,42,UY,1612983810,71,-33.6971,-53.4616,76.77,12.08
Nueva Loja,75,EC,1612983810,58,0.0847,-76.8828,91.4,5.75
Ribeira Grande,40,PT,1612983810,77,38.5167,-28.7,59.0,25.32
Kapaa,40,US,1612983806,49,22.0752,-159.319,73.4,14.97
Rikitea,52,PF,1612983810,72,-23.1203,-134.9692,79.05,11.23
Ellwangen,100,DE,1612983810,86,48.9616,10.1317,19.0,8.23
Hasaki,20,JP,1612983810,65,35.7333,140.8333,37.4,3.44
Busselton,3,AU,1612983810,97,-33.65,115.3333,55.0,8.59
Novobirilyussy,100,RU,1612983810,90,56.9514,90.6661,-5.84,5.93
Hithadhoo,47,MV,1612983811,76,-0.6,73.0833,82.06,11.36
Albany,100,US,1612983615,44,42.6001,-73.9662,28.99,3.0
Mishan,70,CN,1612983811,94,45.55,131.8833,10.17,6.29
Riviere-au-Renard,40,CA,1612983811,45,48.9957,-64.3971,19.4,12.66
Hermanus,6,ZA,1612983804,79,-34.4187,19.2345,70.0,4.0
New Norfolk,0,AU,1612983811,69,-42.7826,147.0587,52.0,2.64
Kiunga,100,PG,1612983811,98,-6.1219,141.2906,73.36,2.73
George Town,20,MY,1612983811,78,5.4112,100.3354,82.4,2.3
Ponta do Sol,73,PT,1612983811,79,32.6667,-17.1,61.0,3.0
Kichera,0,RU,1612983811,81,55.9375,110.0997,1.47,8.75
Bilibino,86,RU,1612983812,85,68.0546,166.4372,-8.95,2.59
Caohe,100,CN,1612983812,74,30.2297,115.4335,54.0,2.39
Bara,29,NG,1612983812,15,10.3744,10.7288,80.15,9.06
Ormara,100,PK,1612983660,51,25.2088,64.6357,72.61,8.1
Peniche,73,PT,1612983812,94,39.3558,-9.3811,59.0,11.99
Carberry,1,CA,1612983812,63,49.8689,-99.3602,-16.6,13.8
Broome,1,US,1612983812,45,42.2506,-75.833,25.0,6.91
Arrondissement de Bourges,90,FR,1612983812,86,47.25,2.4167,26.6,11.5
Gagra,42,GE,1612983812,87,43.3283,40.2239,50.0,2.24
Carnarvon,0,AU,1612983813,88,-24.8667,113.6333,71.6,24.16
Port Blair,0,IN,1612983813,69,11.6667,92.75,76.59,9.53
Kruisfontein,5,ZA,1612983813,84,-34.0033,24.7314,73.99,3.0
Geraldton,0,AU,1612983531,77,-28.7667,114.6,60.8,14.97
Te Anau,100,NZ,1612983588,86,-45.4167,167.7167,49.48,7.4
Mataura,100,NZ,1612983813,93,-46.1927,168.8643,49.26,11.88
Knysna,20,ZA,1612983813,88,-34.0363,23.0471,68.0,6.91
Nikolskoye,40,RU,1612983813,85,59.7035,30.7861,9.0,2.24
Itoman,75,JP,1612983813,88,26.1247,127.6694,64.4,11.5
Ilulissat,1,GL,1612983813,38,69.2167,-51.1,15.8,18.41
Praia,0,CV,1612983813,73,14.9215,-23.5087,71.6,23.02
Gritsovskiy,77,RU,1612983813,95,54.1376,38.1604,2.75,8.34
Alofi,100,NU,1612983808,100,-19.0595,-169.9187,77.0,3.44
Letterkenny,0,IE,1612983814,69,54.95,-7.7333,33.8,8.05
Merauke,100,ID,1612983814,91,-8.4667,140.3333,78.1,7.07
Zhuji,75,CN,1612983814,93,29.7188,120.2423,51.01,6.71
Maniitsoq,0,GL,1612983814,87,65.4167,-52.9,19.45,3.51
Bluff,100,NZ,1612983805,90,-46.6,168.3333,53.38,34.58
Dingle,45,PH,1612983814,88,10.9995,122.6711,75.11,1.99
Lebu,0,CL,1612983814,65,-37.6167,-73.65,68.95,7.0
Ushuaia,0,AR,1612983583,29,-54.8,-68.3,80.6,16.11
Puerto Baquerizo Moreno,90,EC,1612983815,100,-0.9,-89.6,77.0,5.75
Thompson,75,CA,1612983815,69,55.7435,-97.8558,-23.8,4.61
Jamestown,1,US,1612983675,63,42.097,-79.2353,25.0,5.75
Muros,100,ES,1612983815,84,42.7762,-9.0603,54.0,8.99
Tasiilaq,75,GL,1612983815,41,65.6145,-37.6368,14.0,2.3
Ternate,100,ID,1612983815,81,0.8,127.4,80.67,5.48
Hurricane,1,US,1612983815,35,37.1753,-113.2899,60.01,4.47
Matara,98,LK,1612983815,78,5.9485,80.5353,73.94,7.67
Cherskiy,0,RU,1612983816,85,68.75,161.3,-10.35,1.83
Camapuã,75,BR,1612983816,39,-19.5314,-54.0439,88.66,4.61
Manakara,100,MG,1612983816,88,-22.1333,48.0167,75.09,2.37
Saskylakh,0,RU,1612983816,83,71.9167,114.0833,-21.08,9.42
Nome,1,US,1612983816,45,64.5011,-165.4064,-9.4,9.22
Cape Town,0,ZA,1612983751,78,-33.9258,18.4232,72.0,17.27
Isangel,100,VU,1612983816,83,-19.55,169.2667,78.62,7.78
Leningradskiy,6,RU,1612983816,83,69.3833,178.4167,-28.48,10.47
Avarua,20,CK,1612983817,78,-21.2078,-159.775,82.4,10.36
Bereda,100,ES,1612983817,83,43.2686,-7.5406,50.0,5.01
Cayenne,75,GF,1612983608,94,4.9333,-52.3333,77.0,3.44
Abonnema,20,NG,1612983817,62,4.7084,6.7931,86.0,8.05
Antofagasta,0,CL,1612983566,56,-23.65,-70.4,73.4,10.36
Arraial do Cabo,40,BR,1612983611,73,-22.9661,-42.0278,78.8,13.8
Coquimbo,40,CL,1612983817,68,-29.9533,-71.3436,68.0,10.36
Salalah,0,OM,1612983817,25,17.0151,54.0924,78.8,6.91
Seoul,75,KR,1612983586,93,37.5683,126.9778,33.8,2.3
Hong Kong,97,HK,1612983733,87,22.2855,114.1577,62.01,6.11
Ostrovnoy,29,RU,1612983817,93,68.0531,39.5131,7.88,16.89
Maxixe,20,MZ,1612983817,69,-23.8597,35.3472,80.6,6.91
Kaitangata,69,NZ,1612983818,53,-46.2817,169.8464,55.99,17.0
Parabel',100,RU,1612983818,90,58.6978,81.4825,-9.65,8.5
Lagoa,90,PT,1612983788,68,39.05,-27.9833,58.17,33.8
Provideniya,0,RU,1612983818,79,64.3833,-173.3,-15.84,14.38
Krasnaya Gora,90,RU,1612983818,79,52.9995,31.6023,14.0,11.18
Hofn,100,IS,1612983818,76,64.2539,-15.2082,38.44,12.21
Tuatapere,100,NZ,1612983818,91,-46.1333,167.6833,50.85,15.7
Solnechnyy,36,RU,1612983818,87,50.7214,136.6319,-2.0,1.07
Xingyi,0,CN,1612983818,90,24.1877,102.817,40.89,1.97
Marabu,40,MY,1612983818,94,4.4148,114.0089,78.8,1.14
Kayiry,100,UA,1612983819,94,46.9454,33.7059,39.61,9.48
Grand Forks,75,US,1612983819,54,47.9417,-97.4337,-5.8,13.8
Nha Trang,20,VN,1612983819,78,12.25,109.1833,73.4,14.97
Yulara,40,AU,1612983819,58,-25.2406,130.9889,86.0,6.91
Uinskoye,0,RU,1612983819,86,56.8817,56.5813,-13.2,3.04
Nishihara,90,JP,1612983585,72,26.1842,127.7558,64.4,20.71
Vaini,100,TO,1612983814,86,-21.2,-175.2,79.59,13.96
Calama,20,CL,1612983632,28,-22.4667,-68.9333,73.4,23.02
Faanui,0,PF,1612983819,67,-16.4833,-151.75,81.23,10.96
Guía de Isora,75,ES,1612983819,72,28.2115,-16.7795,66.99,4.61
Coyhaique,0,CL,1612983820,25,-45.5752,-72.0662,91.4,9.22
East London,20,ZA,1612983821,88,-33.0153,27.9116,75.2,10.36
Guangyuan,85,CN,1612983821,83,32.442,105.823,43.0,1.39
Bethel,1,US,1612983821,46,41.3712,-73.414,32.0,9.22
Kumla,40,SE,1612983821,73,59.1277,15.1434,19.4,13.8
Yar-Sale,100,RU,1612983821,85,66.8333,70.8333,-23.15,13.47
Half Moon Bay,90,US,1612983822,76,37.4636,-122.4286,59.0,6.91
Haines Junction,0,CA,1612983536,67,60.7522,-137.5108,-40.0,1.23
San Cristobal,40,VE,1612983822,65,7.7669,-72.225,82.4,11.5
Rosetta,0,EG,1612983822,67,31.4044,30.4164,62.6,3.44
Soller,20,ES,1612983822,67,39.7662,2.7152,55.99,14.97
Kirakira,98,SB,1612983822,79,-10.4544,161.9205,79.12,3.51
Candeias,9,BR,1612983822,76,-20.7676,-45.2764,74.79,3.71
Kaeo,100,NZ,1612983822,96,-35.1,173.7833,62.01,5.01
Saint Paul Harbor,90,US,1612983822,81,57.79,-152.4072,37.4,18.41
Bengkulu,85,ID,1612983823,88,-3.8004,102.2655,75.24,4.18
Vanavara,48,RU,1612983823,89,60.34,102.2797,-11.97,3.49
Hutchinson,90,US,1612983823,67,38.0608,-97.9298,17.6,17.27
Cidreira,100,BR,1612983823,74,-30.1811,-50.2056,77.52,13.29
Río Gallegos,0,AR,1612983698,52,-51.6226,-69.2181,69.8,13.8
Moussoro,89,TD,1612983823,17,13.6408,16.4901,76.6,9.53
Umluj,92,SA,1612983823,49,25.0213,37.2685,77.68,7.83
Boden,0,SE,1612983823,92,65.8252,21.6886,-0.4,2.3
Talnakh,38,RU,1612983823,82,69.4865,88.3972,-13.36,4.85
Tual,100,ID,1612983823,78,-5.6667,132.75,83.21,15.08
Vestmanna,43,FO,1612983824,79,62.1564,-7.1664,21.2,6.53
Aykhal,61,RU,1612983824,85,66.0,111.5,-22.04,6.04
Catuday,78,PH,1612983824,80,16.2923,119.8062,77.43,4.88
Pendências,65,BR,1612983824,52,-5.26,-36.7222,89.89,21.41
Shenjiamen,100,CN,1612983824,90,29.9576,122.298,50.61,11.25
Bülach,75,CH,1612983824,93,47.522,8.5405,27.0,11.5
Longyearbyen,75,SJ,1612983824,72,78.2186,15.6401,10.4,20.71
Sambava,100,MG,1612983824,83,-14.2667,50.1667,78.13,1.16
Stornoway,20,GB,1612983824,64,58.2093,-6.3865,33.01,9.22
Tsogni,100,GA,1612983824,89,-2.7942,10.0988,78.69,3.56
Tuktoyaktuk,1,CA,1612983810,75,69.4541,-133.0374,-31.0,12.66
Port Moresby,20,PG,1612983825,94,-9.4431,147.1797,75.2,5.75
Urdoma,87,RU,1612983825,90,61.7533,48.5442,-12.53,2.59
Amalāpuram,27,IN,1612983825,88,16.5833,82.0167,65.01,0.67
Mumbwa,100,ZM,1612983825,98,-14.9783,27.0619,65.34,3.65
Labuhan,100,ID,1612983825,89,-6.8844,112.2051,77.13,5.21
Yellowknife,20,CA,1612983680,70,62.456,-114.3525,-8.0,8.05
Port Macquarie,72,AU,1612983526,99,-31.4333,152.9167,62.01,4.41
Ancud,0,CL,1612983825,44,-41.8697,-73.8203,82.4,9.22
Upernavik,13,GL,1612983825,92,72.7868,-56.1549,2.39,11.16
Bud,100,US,1612983826,81,39.447,-86.1758,23.0,9.08
Sakakah,0,SA,1612983826,55,29.9697,40.2064,60.8,6.91
Port Hardy,75,CA,1612983644,74,50.6996,-127.4199,32.0,3.44
Port Elizabeth,75,ZA,1612983826,88,-33.918,25.5701,75.2,6.91
Nanortalik,69,GL,1612983826,89,60.1432,-45.2371,25.48,9.13
Gladstone,75,AU,1612983826,68,-23.85,151.25,73.4,5.75
Portland,75,US,1612983192,75,45.5234,-122.6762,42.01,0.89
Harlow,0,GB,1612983827,80,51.7766,0.1116,32.0,6.91
San Patricio,75,US,1612983827,78,28.017,-97.5169,80.6,20.71
Bathsheba,40,BB,1612983827,54,13.2167,-59.5167,84.2,23.02
Kupang,97,ID,1612983827,82,-10.1667,123.5833,78.75,3.15
Saint George,1,US,1612983827,35,37.1041,-113.5841,60.01,3.15
Flinders,31,AU,1612983827,87,-34.5833,150.8552,62.01,1.01
Goba,93,ET,1612983827,81,7.0167,39.9833,53.04,1.68
Waipawa,60,NZ,1612983827,63,-41.4122,175.5153,62.01,13.8
Arlit,44,NE,1612983827,13,18.7369,7.3853,79.05,11.18
Kropotkin,100,RU,1612983827,79,45.4375,40.5756,46.0,9.71
Loa Janan,91,ID,1612983828,97,-0.583,117.095,75.02,1.39
Burns Lake,2,CA,1612983604,68,54.2331,-125.7533,-27.4,1.14
Mahébourg,40,MU,1612983828,74,-20.4081,57.7,80.6,11.5
Verkhnyaya Inta,100,RU,1612983828,87,65.9811,60.3094,-20.49,7.0
Lata,100,PT,1612983828,98,40.1629,-8.3327,57.0,5.01
Qaanaaq,99,GL,1612983828,71,77.484,-69.3632,3.07,11.79
Vila Franca do Campo,20,PT,1612983828,88,37.7167,-25.4333,61.0,19.57
Necochea,47,AR,1612983828,64,-38.5473,-58.7368,73.0,8.01
Clyde River,90,CA,1612983829,92,70.4692,-68.5914,6.8,46.04
Santa Maria,75,BR,1612983829,83,-29.6842,-53.8069,77.0,8.05
Cranbrook,40,CA,1612983616,72,49.4999,-115.7688,3.2,6.91
Balyqshy,90,KZ,1612983829,100,47.0667,51.8667,33.8,6.71
Calamar,40,CO,1612983829,70,10.2511,-74.9146,86.0,12.66
Saint-Joseph,90,RE,1612983829,69,-21.3667,55.6167,80.6,3.44
Don Luan,28,VN,1612983829,93,11.5333,106.9167,71.53,2.17
Morondava,100,MG,1612983830,88,-20.2833,44.2833,77.61,13.44
Rio Tuba,1,PH,1612983830,82,8.5061,117.4317,79.07,5.66
Pochutla,40,MX,1612983830,51,15.7432,-96.4661,88.0,11.5
Ayagoz,100,KZ,1612983830,93,47.9714,80.4392,-1.34,2.13
Skellefteå,20,SE,1612983830,78,64.7507,20.9528,3.0,8.05
Province of Mantua,82,IT,1612983830,94,45.1667,10.7833,46.0,5.01
Souillac,40,MU,1612983816,74,-20.5167,57.5167,80.6,11.5
Castro,57,BR,1612983602,59,-24.7911,-50.0119,74.43,1.57
Beringovskiy,12,RU,1612983831,87,63.05,179.3167,-20.56,12.35
São Filipe,30,CV,1612983831,71,14.8961,-24.4956,72.88,9.46
Poum,0,NC,1612983831,75,-20.2333,164.0167,78.64,15.64
Mossamedes,100,AO,1612983831,74,-15.1961,12.1522,73.94,7.76
Hirara,100,JP,1612983831,84,24.8,125.2833,70.68,23.67
Waycross,90,US,1612983831,100,31.2136,-82.354,66.2,3.65
Karasjok,75,NO,1612983832,79,69.4719,25.5112,21.2,8.05
Pimentel,0,PE,1612983832,48,-6.8367,-79.9342,87.8,9.22
Tiksi,100,RU,1612983832,87,71.6872,128.8694,-14.08,3.44
Eganville,1,CA,1612983832,49,45.5334,-77.0994,21.99,4.61
Saint-Philippe,90,RE,1612983832,69,-21.3585,55.7679,80.6,3.44
Whitehorse,20,CA,1612983832,68,60.7161,-135.0538,-29.2,2.3
Vardø,40,NO,1612983832,63,70.3705,31.1107,23.0,26.46
Diamantino,54,BR,1612983833,53,-14.4086,-56.4461,88.72,2.62
Pamekasan,90,ID,1612983542,87,-7.1568,113.4746,77.67,3.49
Saint-François,90,FR,1612983833,86,46.4154,3.9054,30.99,12.66
Kendari,62,ID,1612983833,90,-3.945,122.4989,76.86,1.72
Linxia Chengguanzhen,100,CN,1612983663,71,35.6003,103.2064,36.61,6.31
Marsh Harbour,0,BS,1612983833,73,26.5412,-77.0636,75.56,9.26
El Alto,20,PE,1612983833,51,-4.2714,-81.2147,87.8,10.36
Wad Medani,0,SD,1612983788,18,14.4012,33.5199,77.4,8.88
Tartagal,90,AR,1612983834,100,-22.5164,-63.8013,66.2,6.91
Cabo San Lucas,1,MX,1612983834,49,22.8909,-109.9124,77.0,11.5
Mar del Plata,40,AR,1612983562,73,-38.0023,-57.5575,71.6,24.16
Salou,20,ES,1612983834,47,41.0766,1.1416,57.99,11.5
Malbork,69,PL,1612983834,87,54.0359,19.0266,18.0,1.01
Adzopé,0,CI,1612983834,71,6.1069,-3.8619,82.33,5.55
Mehamn,75,NO,1612983788,80,71.0357,27.8492,24.8,8.05
Khovd,47,MN,1612983834,56,48.0056,91.6419,12.27,10.56
Kalianget,100,ID,1612983834,83,-7.05,113.9333,78.76,4.85
Katangli,100,RU,1612983834,96,51.7102,143.2326,15.28,15.95
Fukuechō,100,JP,1612983834,52,32.6881,128.8419,53.26,9.51
Sørland,40,NO,1612983834,69,67.667,12.6934,28.4,6.91
Safranbolu,36,TR,1612983742,76,41.2508,32.6942,46.18,1.72
Rovaniemi,75,FI,1612983697,84,66.5,25.7167,-2.2,2.3
Freeport,1,US,1612983677,43,40.6576,-73.5832,33.01,6.91
Nipawin,1,CA,1612983835,57,53.3668,-104.0009,-20.2,8.05
Katsuura,20,JP,1612983835,57,35.1333,140.3,44.6,10.36
Miramar,40,US,1612983835,41,25.9873,-80.2323,82.0,10.36
Narsaq,20,GL,1612983835,25,60.9167,-46.05,33.8,26.46
Chokurdakh,81,RU,1612983835,89,70.6333,147.9167,-11.42,9.66
Lavrentiya,0,RU,1612983835,80,65.5833,-171.0,-27.18,10.13
Mana,84,GF,1612983836,68,5.6592,-53.7767,80.87,10.2
Córdoba,75,AR,1612983836,56,-31.4135,-64.1811,79.0,8.05
Poronaysk,100,RU,1612983836,89,49.2167,143.1167,10.29,6.53
Chapais,90,CA,1612983581,66,49.7834,-74.8492,6.8,6.91
Heyang,39,CN,1612983836,90,26.1011,107.473,44.46,3.38
Krasnosel'kup,100,RU,1612983836,87,65.7,82.4667,-21.6,5.7
Caxito,20,AO,1612983836,74,-8.5785,13.6643,82.4,8.05
Bueno Brandão,80,BR,1612983836,80,-22.4408,-46.3508,70.74,2.75
Humaitá,100,BR,1612983836,82,-7.5061,-63.0208,84.33,1.97
Acajutla,40,SV,1612983837,48,13.5928,-89.8275,86.0,3.44
Norman Wells,40,CA,1612983837,67,65.282,-126.8329,-34.6,6.51
Anūpgarh,0,IN,1612983837,33,29.1911,73.2086,59.31,3.62
Tautira,20,PF,1612983835,69,-17.7333,-149.15,82.0,24.16
Ilhabela,100,BR,1612983676,77,-23.7781,-45.3581,77.5,6.4
Mackenzie,1,CA,1612983837,63,55.2999,-123.1698,-18.4,9.22
Comodoro Rivadavia,0,AR,1612983806,64,-45.8667,-67.5,69.8,4.61
Kamenka,100,RU,1612983837,93,51.3223,42.7678,21.99,4.0
Wyndham,90,US,1612983837,56,37.6985,-77.6125,44.01,4.0
Belaya Gora,1,RU,1612983837,89,68.5333,146.4167,-18.6,0.36
Orocué,2,CO,1612983628,33,4.7912,-71.3354,95.49,12.88
Punta Alta,0,AR,1612983838,37,-38.8759,-62.0736,78.17,17.72
Lakatoro,4,VU,1612983838,77,-16.0999,167.4164,79.77,6.87
Namatanai,98,PG,1612983838,81,-3.6667,152.4333,79.61,3.62
Fort Nelson,90,CA,1612983605,77,58.8053,-122.7002,-7.6,2.3
Ubari,0,LY,1612983838,23,26.5921,12.7805,67.95,11.54
Majene,76,ID,1612983838,84,-3.5403,118.9707,77.95,3.87
Meulaboh,100,ID,1612983838,89,4.1363,96.1285,77.5,4.29
Muriwai Beach,70,NZ,1612983838,87,-36.8167,174.45,63.0,8.03
Skole,100,UA,1612983838,86,49.0372,23.5135,26.01,2.08
Bull Savanna,9,JM,1612983838,62,17.8868,-77.5902,81.1,13.78
Taraz,90,KZ,1612983839,93,42.9,71.3667,33.8,4.47
Baykit,100,RU,1612983839,85,61.67,96.37,-11.61,2.8
Saulkrasti,90,LV,1612983839,85,57.2622,24.4147,12.2,6.91
Iquitos,75,PE,1612983839,59,-3.7481,-73.2472,93.2,8.05
Makkah al Mukarramah,32,SA,1612983839,49,21.4267,39.8261,77.43,2.06
Airai,100,TL,1612983839,100,-8.9266,125.4092,61.09,1.45
Pangkalanbuun,100,ID,1612983839,93,-2.6833,111.6167,74.17,2.35
Villacarrillo,96,ES,1612983839,100,38.1156,-3.0848,57.0,6.53
Hurghada,0,EG,1612983839,46,27.2574,33.8129,71.6,5.75
Saldanha,0,ZA,1612983839,64,-33.0117,17.9442,71.6,10.36
Koshurnikovo,100,RU,1612983840,93,54.1667,93.3,-1.19,0.45
